"strain"	"isolate"	"genbank_title"	"length"	"country"	"host"	"date"
"PQ637673.1"	"AB2934"	"Chikungunya virus isolate AB2934, partial genome"	11736	"Thailand"	"Homo sapiens"	2020-04-14
"PQ637674.1"	"AB2951"	"Chikungunya virus isolate AB2951, partial genome"	11736	"Thailand"	"Homo sapiens"	2020-05-15
"PQ637675.1"	"AB2991"	"Chikungunya virus isolate AB2991, partial genome"	11736	"Thailand"	"Homo sapiens"	2020-06-24
"PQ637676.1"	"AB3029"	"Chikungunya virus isolate AB3029, partial genome"	11736	"Thailand"	"Homo sapiens"	2020-07-15
"PQ637677.1"	"AB3096"	"Chikungunya virus isolate AB3096, partial genome"	11736	"Thailand"	"Homo sapiens"	2020-08-14
"PQ637678.1"	"AB3172"	"Chikungunya virus isolate AB3172, partial genome"	11736	"Thailand"	"Homo sapiens"	2020-08-09
"PQ637679.1"	"AB3216"	"Chikungunya virus isolate AB3216, partial genome"	11623	"Thailand"	"Homo sapiens"	2020-01-10
"PQ637680.1"	"AB3310"	"Chikungunya virus isolate AB3310, partial genome"	11736	"Thailand"	"Homo sapiens"	2020-05-11
"PQ637681.1"	"AB3415"	"Chikungunya virus isolate AB3415, partial genome"	11736	"Thailand"	"Homo sapiens"	2020-03-12
"PQ637682.1"	"AB3535"	"Chikungunya virus isolate AB3535, partial genome"	11728	"Thailand"	"Homo sapiens"	2021-01-22
"PQ637683.1"	"AB3556"	"Chikungunya virus isolate AB3556, partial genome"	11728	"Thailand"	"Homo sapiens"	2021-03-02
"PQ637684.1"	"AB3620"	"Chikungunya virus isolate AB3620, partial genome"	11717	"Thailand"	"Homo sapiens"	2021-03-18
"PQ637685.1"	"AB3709"	"Chikungunya virus isolate AB3709, partial genome"	11718	"Thailand"	"Homo sapiens"	2021-12-20
"PQ637686.1"	"AB3718"	"Chikungunya virus isolate AB3718, partial genome"	11728	"Thailand"	"Homo sapiens"	2021-12-29
"PQ637687.1"	"AB3719"	"Chikungunya virus isolate AB3719, partial genome"	11498	"Thailand"	"Homo sapiens"	2022-04-01
